id	primary_wave	supplemental_wave	mutation_class	release_evidence
SC-01	3	0	ordinary-provider	Fresh classic card payment, order/intent/charge joins, badge and error UX
SC-02	3	0	ordinary-provider	Fresh Blocks card payment, order/intent/charge joins, mounted Payment Element and errors
SC-03	3	0	ordinary-provider-single-sequence	Exact same-order 3DS fail then retry then success, no duplicate charge
SC-04	3	0	ordinary-provider	Fresh saved-card classic and Blocks, normal and SCA, exact token reuse
SC-05	3	0	ordinary-provider-single-sequence	Fresh order-pay new-card and checked-save 3DS paths, paid order and saved-token joins
SC-06	2	0	local-reversible	Regular/subscription save control and terms behavior on both checkout surfaces
SC-07	3	5	ordinary-provider-capability	Method/network/currency-specific rejection plus supported paid control
SC-08	5	3	external-otp	WooPay signup, OTP, paid checkout, reusable payment and address
SC-09	5	3	external-real-chrome	Stripe Link registration, paid checkout, and reuse
SC-10	3	5	ordinary-provider-capability	Eligible regional methods pay and refund, ineligible currencies hide, settings restore
SC-11	3	5	ordinary-provider-manual-action	Klarna/Affirm/Afterpay eligibility, hosted completion, receipt, branding, and refund
SC-12	2	0	local-reversible	Alternate gateway coexistence, distinct labels, no WooPayments false validation
SC-13	2	3	local-reversible	Exact shipping method 20-to-40-to-20 totals journey and checkout continuity
SC-14	3	5	ordinary-provider-capability	Every supported wave-1 method creates correct method-specific intent/order or honest external block
SP-01	3	0	ordinary-provider	One SetupIntent/PaymentMethod/token, visible success and checkout reuse
SP-02	3	0	ordinary-provider-single-sequence	3DS setup failure then success, no token on failure, one token on success
SP-03	3	0	ordinary-provider-decline	Specific safe decline error, no token/order/charge
SP-04	3	0	ordinary-provider	Delete exact token, provider detachment, surviving token continuity
SP-05	3	0	ordinary-provider	Set default, persistence, exact default selection at checkout
SS-01	3	0	ordinary-provider	Initial subscription order, token/customer/provider joins, schedule and mandate UX
SS-02	3	0	ordinary-provider	Change to new card, token persistence, subscription binding and renewal readiness
SS-03	3	0	ordinary-provider	Change to saved card and provider-reconciled renewal
SS-04	3	0	ordinary-provider	Default change and renewal use of exact selected token
SS-05	3	0	ordinary-provider	One shopper early renewal, paid order, schedule advancement and exact charge
SS-06	3	0	ordinary-provider	Cancel and re-subscribe, distinct schedules and exact new charge/token joins
SS-07	3	2	ordinary-provider	Signup, one-off and recurring coupons through initial and renewal totals
SS-08	3	0	ordinary-provider	Zero-total trial SetupIntent/token and first charged renewal
SS-09	3	2	ordinary-provider	Multiple subscriptions from one purchase with independent schedules
SS-10	6	5	cutover-provider-capability	Target-only plugin-created SEPA token visibility and native renewal after cutover
MS-01	2	0	local-reversible	Published subscription product, settings and owner-resolved Add to cart CTA
MS-02	3	0	ordinary-provider-observation	Fresh purchased subscription visible in admin and My Account
MS-03	2	0	local-reversible	Suspend blocks renewal and resume restores status/schedule without unintended charge
MS-04	2	3	local-reversible	Coupon promotion persists and affects scheduled money exactly
