# Machine-readable critical-flows matrix — one row per README matrix flow.
# Columns: id	title	layers	oracle	status. Kept in sync with README.md by
# test-inventory.py::test_matrix_tsv_matches_readme — edit BOTH or the suite fails.
id	title	layers	oracle	status
SC-01	Card checkout, shortcode (new card)	D+A	comparable	PENDING
SC-02	Card checkout, Blocks (new card)	D+A	comparable	PENDING
SC-03	3DS-required card (`4000002500003155`), classic + Blocks	A (+D assert)	comparable	PENDING
SC-04	Saved card → checkout (classic + Blocks)	D+A	comparable	PASS (runner-verified 2026-07-14: context-bound sc04 gate — classic+Blocks, normal+SCA, both stores; run archived under evidence/runs/)
SC-05	Pay for order (My Account), new + save, 3DS	D+A	comparable	PENDING
SC-06	Save-PM checkbox + terms behavior (sub vs regular)	A	comparable	PENDING
SC-07	$1M cart limit	D+A	comparable	PENDING
SC-08	WooPay signup + checkout	A	comparable	BLOCKED (SMS OTP)
SC-09	Stripe Link save + reuse	A	comparable	BLOCKED (real Chrome card)
SC-10	Regional — Bancontact / iDEAL / P24	A (+D assert)	comparable	PENDING
SC-11	BNPL — Klarna / Affirm (≥$50) / Afterpay	A (+D assert)	comparable	PENDING
SC-12	Add card via OTHER gateway (no WooPayments conflict)	D+A	comparable	PENDING
SC-13	Shipping cost updates on method switch	D+A	comparable	PENDING
SC-14	LPM wave-1 checkout	D+A	comparable	PENDING
SP-01	Add PM — regular card	D+A	comparable	PASS (runner-verified 2026-07-17: fresh context-bound Layer A used one trusted submit per store and proved the success notice, saved Visa 4242 listing and checkout reuse, exact one-token/customer/PaymentMethod/succeeded off-session SetupIntent joins, zero orders, and no charge delta; the target raw checkout timing miss is preserved and reconciled by a read-only saved-card observation, while its exact placeholder 404 remains cosmetic; Layer D independently repeated the provider-bound Visa token/setup success with zero orders/charges and clean marker-bounded logs; runs 20260717T135914Z-35762-partial, 20260717T134419Z-3276-partial)
SP-02	Add PM — 3DSv2 (`4000000000003220`) fail→succeed	A	comparable	PASS (runner-verified 2026-07-14: dual-store 3DS Fail → specific authentication error and no token; Complete → exactly one customer-bound Visa 3220 token; no order/charge; target cosmetic storefront divergence; run 20260714T142200Z-34396-partial)
SP-03	Add PM — declined (`4000000000000002`)	D+A	comparable	FAIL (runner-verified 2026-07-14: Layer A reference PASS, target FAIL — UX; create_setup_intent returned HTTP 502 with the specific decline in its body but native rendered a generic error; no token/order/charge; new product regression; run 20260714T140342Z-13810-partial)
SP-04	Delete PM	D+A	comparable	PENDING (Layer A runner-verified PASS 2026-07-14: dual-store Delete notice, reload persistence, provider detachment, surviving Visa 4242 checkout option, and no-order/no-charge assertions; target missing product placeholder recorded as visual divergence; Layer D NOT YET WIRED; reference deprecation prevents a log-clean claim; run 20260714T145403Z-72697-partial)
SP-05	Saved-PM management / set default	D+A	comparable	FAIL (runner-verified 2026-07-14: Layer A reference PASS, target FAIL — UX; both stores persisted Mastercard 4444 as the sole default after reload, but target Blocks checkout preselected non-default Visa 4242; provider/token/no-order/no-charge assertions passed; Layer D NOT YET WIRED; new product regression; run 20260714T144159Z-57391-partial)
SS-01	Purchase subscription (initial)	D+A	comparable	PENDING (Layer A runner-verified PASS 2026-07-17: dual-store $9.99 monthly block checkout, store-naming future-payments mandate, no save-PM checkbox, order/active-subscription/next-payment/token/provider/customer binding and My Account Visa 4242 parity; target missing product placeholder recorded as visual divergence; Layer D NOT YET WIRED; run 20260717T112612Z-29585-partial)
SS-02	Change PM → new card	D+A	comparable	PENDING (Layer A runner-verified 2026-07-17: reference PASS, target FAIL — functional; unlike reference, native renders an unchecked optional Save to account control, then creates provider Mastercard 4444 but redirects to Order received and does not save/bind a local token, leaving the subscription UI and Payment methods on Visa 4242; Active/schedule/order/charge state remains safe; Layer D NOT YET WIRED; new product regression; run 20260717T123027Z-62070-partial)
SS-03	Change PM → saved card	D+A	comparable	PASS (runner-verified 2026-07-14: browser Layer A both stores; renewal D layer provider-reconciled with chosen-token binding artifact; run archived under evidence/runs/)
SS-04	Set / change default PM	D	comparable	PENDING
